comment_id,post_id,user_id,text,timestamp,like_count,love_count,laugh_count
84626,898146,997916,"Lorem ipsum dolor sit amet, cubilia nec est mauris in,",2024-01-01T19:05:33Z,14,10,12
981826,632636,252679,"Lorem ipsum dolor sit amet, sed tellus maximus aliquet, ex",2024-01-01T19:34:53Z,11,14,9
152597,391147,867035,"Lorem ipsum dolor sit amet, volutpat, tincidunt semper fames vel",2024-01-01T23:01:11Z,12,14,14
356191,880923,664556,"Lorem ipsum dolor sit amet, mauris commodo a non libero,",2024-01-01T23:54:20Z,7,5,3
891024,978639,189765,"Lorem ipsum dolor sit amet, nec tincidunt vitae vitae nulla,",2024-01-02T00:23:53Z,5,12,14
377968,676907,21518,"Lorem ipsum dolor sit amet, a ipsum litora suspendisse et",2024-01-02T02:57:13Z,10,5,12
45938,554063,83042,"Lorem ipsum dolor sit amet, cum curae eget per mi,",2024-01-02T03:34:29Z,10,11,9
227438,996704,620457,"Lorem ipsum dolor sit amet, lacinia erat, mauris scelerisque donec,",2024-01-02T04:44:48Z,2,8,2
637425,86511,225988,"Lorem ipsum dolor sit amet, pretium rhoncus aenean posuere nec",2024-01-02T05:50:18Z,4,9,7
204257,999745,155161,"Lorem ipsum dolor sit amet, cum mus eget risus laoreet",2024-01-02T06:54:48Z,8,16,14
446023,1796,431908,"Lorem ipsum dolor sit amet, potenti natoque felis finibus et",2024-01-02T07:29:44Z,8,9,8
471423,791484,84869,"Lorem ipsum dolor sit amet, dapibus cras porta netus, vitae",2024-01-02T10:17:59Z,12,8,16
114606,60810,197002,"Lorem ipsum dolor sit amet, luctus sit nibh fringilla nisl",2024-01-02T10:47:33Z,5,9,10
447069,966090,91028,"Lorem ipsum dolor sit amet, donec sagittis eget neque quam",2024-01-02T10:50:47Z,23,12,13
615558,714292,738583,"Lorem ipsum dolor sit amet, placerat accumsan non pellentesque nibh",2024-01-02T11:40:40Z,13,7,7
945841,886076,194753,"Lorem ipsum dolor sit amet, ipsum mus sit ipsum at",2024-01-02T12:41:47Z,18,16,12
463890,541540,29937,"Lorem ipsum dolor sit amet, vitae, facilisi tempor nam ultricies",2024-01-02T12:43:04Z,6,5,9
742352,873654,284809,"Lorem ipsum dolor sit amet, sociosqu sociis ut orci rutrum",2024-01-02T13:00:59Z,12,10,14
224678,842367,760387,"Lorem ipsum dolor sit amet, amet primis, quis phasellus diam,",2024-01-02T14:36:55Z,9,10,13
198043,288904,482367,"Lorem ipsum dolor sit amet, quam ut dis ligula aliquam",2024-01-02T17:17:26Z,0,3,1
410342,115435,604975,"Lorem ipsum dolor sit amet, dapibus, justo sagittis. Ac aliquet,",2024-01-02T20:25:29Z,18,10,18
627862,368394,195268,"Lorem ipsum dolor sit amet, malesuada litora sit felis dignissim",2024-01-02T22:56:09Z,13,7,12
749545,830379,214660,"Lorem ipsum dolor sit amet, dictumst nibh pellentesque laoreet. Magnis",2024-01-03T00:48:55Z,3,7,5
108384,595870,206145,"Lorem ipsum dolor sit amet, vulputate, habitasse in ut donec",2024-01-03T03:01:06Z,16,16,8
953717,786939,304611,"Lorem ipsum dolor sit amet, placerat lacinia augue sed eu",2024-01-03T04:46:48Z,16,14,11
996507,942800,505514,"Lorem ipsum dolor sit amet, id, ligula imperdiet nibh ligula",2024-01-03T07:06:20Z,11,6,9
533757,907788,253899,"Lorem ipsum dolor sit amet, sed ipsum mollis lobortis molestie",2024-01-03T08:24:46Z,20,11,19
179863,421296,905747,"Lorem ipsum dolor sit amet, dictumst eleifend placerat neque sed",2024-01-03T10:03:18Z,13,12,16
